MSFTnews,,
samsung,SamsungGreece,samsunggreece
EU_Commission,EuropeanCommission,europeancommission
java,ilovejava,
eucopresident,,
LEVIS,levis.gb,levis
Wikipedia,wikipedia,wikipedia
arduino,official.arduino,arduino.cc
JunckerEU,JunckerEU,jeanclaudejuncker.official
Oracle,Oracle,oracle
coursera,Coursera,coursera
D_ougarezos,dimitris.ougarezosb,d_ougarezos
timberners_lee,tim.bernerslee.9,tim_bernerslee
orange,orange,orange
CocaColaCo,cocacolagr,cocacola
martinfowler,martin.fowler,
FIBA,FIBA,fiba
nataliagermanou,natalia.germanou.12,natalia_germanou
sport24,SPORT24,sport24
MegaTvOfficial,megatvcom,megatvcom
Airbnb,airbnbuk,airbnb
Ford,FordGreece,ford
News247gr,News247-1716789921903332,news247gr
sassafrantz,,
hellenicpolice,hellenicpolice,
pyrosvestiki,,
kmitsotakis,kyriakosmitsotakis,kyriakos_
neademokratia,neadhmokratia,
rachelmakri,RachelMakriOfficialPage,rachel_makri
F1grid,F1grid,f1.grid
Avramopoulos,Δημήτρης-Αβραμόπουλος-Dimitris-Avramopoulos-236254800095459,
ForTraders,,
ODIHQ,,
htheoharis,htheoharis,harry_theoharis
TurtleRock,TurtleRockStudios,turtlerockstudios
